"scientific_name","zone_sum","presence_sum","zone_prop"
"Golfingia.vulgaris",119540,119541,0.99999
"Goniada.maculata",302757,306549,0.98763
"Halcampa.duodecimcirrata",70337,70359,0.99969
"Halicryptus.spinulosus",4293,2609721,0.00165
"Halisarca.dujardinii",13342,13919,0.95855
"Harmothoe.imbricata",207649,252801,0.82139
"Harpinia.antennaria",37833,37835,0.99995
"Hediste.diversicolor",46888,1347603,0.03479
"Hermania.scabra",23565,24215,0.97316
"Heteromastus.filiformis",223865,340003,0.65842
"Heterotanais.oerstedii",905,27679,0.0327
"Hiatella.arctica",66310,72149,0.91907
"Jaera.albifrons",20109,1301865,0.01545
"Kurtiella.bidentata",403198,459720,0.87705
"Labidoplax.buskii",48366,49338,0.9803
"Lanice.conchilega",154013,154013,1
"Laonice.bahusiensis",6242,6242,1
"Laonome.kroyeri",9974,9981,0.9993
"Levinsenia.gracilis",229050,256656,0.89244
"Limecola.balthica",42505,3370213,0.01261
"Lineus.ruber",31084,88746,0.35026
"Lysilla.loveni",35473,37129,0.9554
"Macoma.calcarea",136028,139336,0.97626
"Magelona.alleni",208549,208555,0.99997
"Magelona.minuta",120749,123810,0.97528
"Malacobdella.grossa",26178,46831,0.55899
"Maldane.sarsi",97578,101309,0.96317
"Marenzelleria",210,3960923,5e-05
"Mediomastus.fragilis",91522,94854,0.96487
"Metridium.senile",729,1525,0.47803
"Microphthalmus.sczelkowii",2277,2632,0.86512
"Micrura.baltica",141,717157,2e-04
"Modiolus.modiolus",52959,52959,1
"Molgula.manhattensis",496,1264,0.39241
"Monocorophium.insidiosum",21604,22643,0.95411
"Musculus.discors",8532,10909,0.78211
"Musculus.niger",42674,44035,0.96909
"Mya.arenaria",106271,1377896,0.07713
"Mya.truncata",62501,110426,0.566
"Mysia.undata",235782,236570,0.99667
"Mytilus",76735,1490848,0.05147
"Nephtys.assimilis",35030,35030,1
"Nephtys.caeca",265654,317432,0.83688
"Nephtys.ciliata",106278,133018,0.79897
"Nephtys.longosetosa",129988,129990,0.99998
"Nephtys.pente",50564,53724,0.94118
"Nereimyra.punctata",117836,141230,0.83436
"Notomastus.latericeus",190606,190784,0.99907
"Nucula.nitidosa",267347,272403,0.98144
"Ophelia.borealis",118964,119194,0.99807
"Ophelia.rathkei",28320,45936,0.61651
"Ophiura.albida",110052,127157,0.86548
"Owenia.fusiformis",141871,142258,0.99728
"Oxydromus.flexuosus",141916,143871,0.98641
"Paradoneis.eliasoni",79871,86448,0.92392
"Paramphinome.jeffreysii",3185,3186,0.99969
"Paraonis.fulgens",60390,63148,0.95632
"Parexogone.hebes",101774,101839,0.99936
"Pariambus.typicus",90445,91251,0.99117
"Parvicardium.pinnulatum",185584,257091,0.72186
"Pectinaria.belgica",74565,75140,0.99235
"Peringia.ulvae",97391,1228380,0.07928
"Perioculodes.longimanus",120891,120893,0.99998
"Phaxas.pellucidus",269140,287353,0.93662
"Pherusa.plumosa",65500,81218,0.80647
"Philine.quadripartita",17955,19848,0.90463
"Pholoe.assimilis",28450,37671,0.75522
"Pholoe.baltica",283177,289990,0.97651
"Pholoe.inornata",87291,88190,0.98981
"Phoronis.muelleri",276177,279985,0.9864
"Phoxocephalus.holbolli",31248,31251,0.9999
"Phyllodoce.groenlandica",181728,183879,0.9883
"Phyllodoce.mucosa",128326,274446,0.46758
"Phyllodoce.rosea",238749,243613,0.98003
"Pisione.remota",55281,62000,0.89163
"Platynereis.dumerilii",29110,37398,0.77838
"Poecilochaetus.serpens",157708,157713,0.99997
"Polycirrus.medusa",116165,118752,0.97822
"Polycirrus.norvegicus",143652,143818,0.99885
"Polycirrus.plumosus",17486,17486,1
"Polydora.cornuta",83046,117764,0.70519
"Polyphysia.crassa",23984,24431,0.9817
"Praxillella.praetermissa",163576,165547,0.98809
"Priapulus.caudatus",86746,624839,0.13883
"Prionospio.fallax",278672,283017,0.98465
"Prionospio.multibranchiat",76752,77855,0.98583
"Protomedeia.fasciata",59510,61743,0.96383
"Psammechinus.miliaris",33835,33857,0.99935
"Pusillina.inconspicua",1535,2549,0.6022
"Pygospio.elegans",157613,2066403,0.07627
"Rhodine.gracilior",153540,157834,0.97279
"Rhodine.loveni",49061,49299,0.99517
"Scalibregma.inflatum",317773,331505,0.95858
"Scoloplos.armiger",341036,589625,0.57839
"Scrobicularia.plana",29005,30381,0.95471
"Sertularia.cupressina",22929,24480,0.93664
"Sphaerodorum.gracilis",51058,52280,0.97663
"Spio.filicornis",218697,218793,0.99956
"Spio.goniocephala",46466,88785,0.52335
"Spiophanes.bombyx",150124,150126,0.99999
"Spirorbis.corallinae",35357,35357,1
"Spisula.subtruncata",94502,98011,0.9642
"Streblospio.shrubsolii",16405,310126,0.0529
"Tanaissus.lilljeborgi",80677,83432,0.96698
"Tellimya.ferruginosa",163877,164624,0.99546
"Terebellides.stroemii",301738,545516,0.55312
