"scientific_name","zone_sum","presence_sum","zone_prop"
"Apherusa.bispinosa",6356,64342,0.09878
"Asterias.rubens",37,257439,0.00014
"Baltidrilus.costatus",328,63108,0.0052
"Bathyporeia.pilosa",468936,1281840,0.36583
"Bylgides.sarsi",334161,2798600,0.1194
"Cerastoderma.edule",27183,201817,0.13469
"Cerastoderma.glaucum",420048,1218874,0.34462
"Chaetozone.setosa",7,321772,2e-05
"Corbula.gibba",60,258087,0.00023
"Corophium.volutator",695133,1652484,0.42066
"Cyanophthalma.obscura",414413,735732,0.56327
"Diastylis.laevis",8,84634,9e-05
"Diastylis.rathkei",1398,1419963,0.00098
"Dreissena.polymorpha",26666,50989,0.52298
"Ecrobia.ventrosa",291667,603527,0.48327
"Edwardsia.longicornis",350,205309,0.0017
"Einhornia.crustulenta",108670,658107,0.16513
"Eteone.longa",5,332859,2e-05
"Eudorella.truncatula",3,153594,2e-05
"Eumida.bahusiensis",2719,266924,0.01019
"Fabricia.stellaris",5593,248043,0.02255
"Galathowenia.oculata",31,252343,0.00012
"Gammarus.oceanicus",263853,407320,0.64778
"Gammarus.salinus",707038,1579576,0.44761
"Gammarus.tigrinus",103965,757503,0.13725
"Gammarus.zaddachi",871773,1637337,0.53243
"Gattyana.cirrhosa",556,436336,0.00127
"Goniada.maculata",11,306549,4e-05
"Halcampa.duodecimcirrata",1,70359,1e-05
"Halicryptus.spinulosus",884921,2609721,0.33909
"Hediste.diversicolor",438053,1347603,0.32506
"Heteromastus.filiformis",1,340003,0
"Heterotanais.oerstedii",1231,27679,0.04447
"Jaera.albifrons",615542,1301865,0.47282
"Kurtiella.bidentata",7,459720,2e-05
"Levinsenia.gracilis",7,256656,3e-05
"Limecola.balthica",1127634,3370213,0.33459
"Lysilla.loveni",27,37129,0.00073
"Magelona.minuta",1,123810,1e-05
"Marenzelleria",2085631,3960923,0.52655
"Mediomastus.fragilis",3,94854,3e-05
"Microphthalmus.sczelkowii",34,2632,0.01292
"Micrura.baltica",62680,717157,0.0874
"Monoporeia.affinis",1287339,2071578,0.62143
"Mya.arenaria",354024,1377896,0.25693
"Mysia.undata",37,236570,0.00016
"Mysis.mixta",488951,501706,0.97458
"Mysis.relicta",751826,1021276,0.73616
"Mytilus",235617,1490848,0.15804
"Neomysis.integer",173837,375273,0.46323
"Nucula.nitidosa",1,272403,0
"Peringia.ulvae",252888,1228380,0.20587
"Phaxas.pellucidus",9,287353,3e-05
"Philine.quadripartita",244,19848,0.01229
"Phoronis.muelleri",21,279985,8e-05
"Phyllodoce.rosea",2850,243613,0.0117
"Pisione.remota",962,62000,0.01552
"Polycirrus.norvegicus",43,143818,3e-04
"Pontoporeia.femorata",976690,2013948,0.48496
"Prionospio.fallax",20,283017,7e-05
"Pygospio.elegans",229767,2066403,0.11119
"Saduria.entomon",1291261,2201049,0.58666
"Scalibregma.inflatum",35,331505,0.00011
"Scoloplos.armiger",66,589625,0.00011
"Streblospio.shrubsolii",10319,310126,0.03327
"Tanaissus.lilljeborgi",46,83432,0.00055
"Theodoxus.fluviatilis",372483,592055,0.62914
"Thyasira.flexuosa",7,252154,3e-05
"Trochochaeta.multisetosa",1,246950,0
"Tubificoides.benedii",536,400222,0.00134
